,Emotion,Sentence
44,Enjoyment,Đêm khuya xem video ăn uống của a mà muốn xỉu luôn:)))
45,Enjoyment,Khoa noi Enghlish dang iu ghe :)
46,Other,Nụ cười khoa dể thương hiền lắm con ơi
47,Other,Ăn xong chén súp tối hôm đó họa mi hót k ngừng làm cho cameraman khỏi ngủ luôn :v
48,Enjoyment,"Khoa Pug à, anh ở Mỹ hơn 30 năm. Anh có thể xác nhận là tiếng anh của em “chuẩn”. 🤣"
49,Enjoyment,người tối cổ! fan cứng=))
50,Enjoyment,A hc tiếng anh mấy câu giao tiếp vs chào hỏi ik ạ
51,Fear,"Chào Khoa, mỗi clip Khoa đăng lên Cô rất vui khi xem và cảm thấy tự hào những gì Khoa đã làm. Mến chúc Khoa luôn thành đạt❤❤"
52,Enjoyment,"Ng ai cập hài hước phết, lại còn chỉ vào viagra soup cười cười :)))"
53,Other,;) chủ tịch quần đùi khoa pug nên thuê phiên dịch
54,Other,nhìn kiểu mút tay thấy kưng dễ sợ :)))
55,Other,Từ vụ khách sạn Aroma giờ fan ấy luôn .
56,Enjoyment,Cameramen đc cưng nhất từ trước tới h tui từng coi😊
57,Other,"4:00 nhìn anh khoa nói hài vãi "" tươi hông"""
58,Enjoyment,Tỷ phú Khoa Pug có trình độ tiếng anh cấp mầm non :)))
59,Other,Mới tìm lại video cũ của a xem e thấy thích kiểu tóc này hơn kiểu hiện tại nhìn bụi bắm quá
60,Other,Youtuber đầu tư nhất mà tôi từng biết <3
61,Surprise,Ngta thân thiện hiếu khách quá trời luôn anh ơi nhìn mà muốn đi qua đó thử một lần ghê
62,Surprise,Xem lại clip hơn 1 năm trước và thấy ổng đẹp trai và đỡ béo hơn giơ nhiều 😃
63,Other,hóa ra cameraman ko chỉ quay mà còn giúp chủ tịt chém tiếng anh
64,Other,"Khoa P hay nói "" bà mẹ...."" rất vui 😂 làm muốn xem hết video. Phát huy nha 🥰"
65,Enjoyment,Những nhà hàng bên Ai Cập rất thích quay vì họ muốn quảng bá nhà hàng của họ đến mọi quốc gia về hương vị đồ ăn và thái độ phục vụ của nhân viên.
66,Enjoyment,Nếu ăn súp đó tăng strong in man thì chị cameraman ngày nào củng cho a đến đây ăn sup
67,Other,Ổng thân thiện vl
68,Enjoyment,"Ng ta cầm nỉa cầm dao, ổng bốc tay chấm muối 😂"
69,Enjoyment,Ah lm vlog đi canada đi ah
70,Disgust,"Anh là youtuber chịu đầu tư làm nhất Việt Nam hihi ai thấy vậy,đi Ai Cập 1 tháng luôn dữ thiệt"
71,Surprise,"Tui nể ông khoa nói tiếng anh ghê nói i như tui. Nói tiếng anh mà như tiếng việt vậy, lúc ông đòi lấy con cá màu đen ổng kêu bờ lách mà tui mắc cười muốn chớt"
72,Anger,Qua đường nếu đông quá là phải chơi bài giả vờ bị đau chân 🤣🤣là qua đc
73,Other,"cũng ước đc một lần có tiền đi du lịch ăn uống như khoa hihi.
cơ mà vẫn đang dịch bạn k sợ à khoa ??"
74,Other,anh khoa nói tiếng anh hay thiệt kkk
75,Enjoyment,súp của ông khoa ăn để tráng dương cường lực =)))))) đưa cho caramen sao được =)))
76,Other,A khoa giàu quá vê vn lam chuyến từ thiện..ủng hô anh
77,Sadness,Tội cameraman đc bn tôm ông Khoa ăn hết :-)
78,Enjoyment,Thấy ổng hay thích quây nhà vệ sinh mà ko thấy ta 😅😅
79,Enjoyment,Chỉ có người vn mới anh hùng và liều mạng không biết tiếng Anh mà vẫn tỉnh như ruồi 😄
80,Other,"ông thần giả vờ mớm cho khoa xong lấy cớ sang mớm cho cameraman , 27:25 , khôn như ông quê tôi đầy :v"
81,Enjoyment,10:44 a tây hi :)))
82,Enjoyment,Ai mà thương anh khoa này chất ghen lắm luôn ổng đep mà ổng đi tối ngày có bửa ổng đi theo gái luôn qa.kkkkkkkk
83,Enjoyment,Làm clip qua Dubai đi a
84,Other,Nghe anh vs ổng nch mà muốn phụt cơm😂😂
85,Enjoyment,Viagra soup là món ăn để ăn vào tối khoẻ đó Khoa 😂😂😂
86,Other,Ăn viagra soup tối về khách sạn camera man trốn :))
87,Fear,cameraman vợ a hả :D
88,Enjoyment,Giờ mới để ý bát bị sứt ae ạ 😂😂
89,Enjoyment,Thích nhất cái rolex thôi :))
90,Enjoyment,19:33 anh nhân viên cute vl. :3
91,Other,"What is your name ?
.
.
Khoe 😂😂😂"
92,Other,"Bà mẹ ơi!, xem clip gần 1h sáng, đói bụng gặp phải ông nội Khoa này ăn làm chảy nước miếng."
93,Surprise,Để caramel lên hình một chút cho nổi tiếng cùng với khoa Pug nha 👍👍👍👍👍
94,Other,Nghe ổng “Bờ lách bờ lách” cười chịu hok nổi 🤣🤣🤣
95,Other,Thấy thông báo xem liền ai như mình không
96,Disgust,Nhà hàng sang trọng mà nó đưa ra cái chén bị sứt kìa :))
97,Other,"Người đâu giàu mà sướng. Được đi du lịch, ăn nhiều món, nhiều nơi. Ngưỡng mộ."
98,Enjoyment,Tối đó cameraman mệt đừ...
99,Other,vừa coi vừa nghe anh nói tiếng anh mà cười ỉa :)))))))
